Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
56597885,"Beautiful World, Where Are You",Sally Rooney,"Rooney, Sally",,"=""0374602603""","=""9780374602604""",0,3.52,"Farrar, Straus and Giroux",Hardcover,356,2021,2021,,2021/06/13,to-read,to-read (#171),to-read,,,,0,0
36679186,Never Have I Ever,Joshilyn Jackson,"Jackson, Joshilyn",,"=""""","=""""",0,3.73,William Morrow,Paperback,352,2019,2019,,2021/06/13,to-read,to-read (#170),to-read,,,,0,0
6502958,The Glass Castle,Jeannette Walls,"Walls, Jeannette",,"=""""","=""""",5,4.33,Scribner,Kindle Edition,353,2007,2005,2021/06/12,2021/01/02,,,read,,,,1,0
4051476,Noah's Ark,Marie-Madeleine Fourcade,"Fourcade, Marie-Madeleine",Kenneth Morgan,"=""0525168206""","=""9780525168201""",0,4.15,Dutton,Hardcover,377,1974,1991,,2021/06/06,to-read,to-read (#169),to-read,,,,0,0
5907,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",0,4.30,Houghton Mifflin,Paperback,366,2002,1937,,2021/06/05,to-read,to-read (#168),to-read,,,,0,0
35504431,Turtles All the Way Down,John Green,"Green, John",,"=""0525555366""","=""9780525555360""",0,3.87,Dutton Books for Young Readers,Hardcover,290,2017,2017,,2021/06/05,to-read,to-read (#167),to-read,,,,0,0
40874032,"Vicious (Villains, #1)",V.E. Schwab,"Schwab, V.E.",Victoria Schwab,"=""""","=""""",3,4.18,Tor Books,Kindle Edition,402,2013,2013,2021/05/31,2021/01/09,,,read,,,,1,0
43175155,"A Touch of Darkness (Hades & Persephone, #1)",Scarlett St.  Clair,"Clair, Scarlett St.",,"=""""","=""""",0,3.80,Scarlett St. Clair,ebook,438,2019,2019,,2021/05/30,to-read,to-read (#166),to-read,,,,0,0
6011665,The Boy in the Striped Pyjamas,John Boyne,"Boyne, John",,"=""""","=""""",5,4.16,David Fickling Books,ebook,226,2008,2006,2021/05/27,2020/05/17,,,read,,,,1,0
49254027,Pretty Things,Janelle Brown,"Brown, Janelle",,"=""""","=""""",4,3.89, Random House,Kindle Edition,470,2020,2020,2021/05/27,2021/04/22,,,read,,,,1,0
50496875,Plain Bad Heroines,Emily M. Danforth,"Danforth, Emily M.",Sara Lautman,"=""0062942859""","=""9780062942852""",0,3.64,William Morrow,Hardcover,640,2020,2020,,2021/05/24,to-read,to-read (#165),to-read,,,,0,0
13028099,The Accidental City: Improvising New Orleans,Lawrence N. Powell,"Powell, Lawrence N.",,"=""0674059875""","=""9780674059870""",0,3.80,Harvard University Press,Hardcover,448,2012,2012,,2021/05/24,to-read,to-read (#164),to-read,,,,0,0
92373,The Third Twin,Ken Follett,"Follett, Ken",,"=""""","=""""",0,3.82,MacMillan General Books,Paperback,640,1997,1996,,2021/05/22,to-read,to-read (#163),to-read,,,,0,0
5067,Triple,Ken Follett,"Follett, Ken",,"=""0451212088""","=""9780451212085""",0,3.95,NAL Trade,Paperback,320,2004,1979,,2021/05/22,to-read,to-read (#162),to-read,,,,0,0
5053,The Man from St. Petersburg,Ken Follett,"Follett, Ken",,"=""0451208706""","=""9780451208705""",0,3.95,Penguin Books,Paperback,320,2003,1982,,2021/05/22,to-read,to-read (#161),to-read,,,,0,0
57727358,The Sisters Sweet,Elizabeth  Weiss,"Weiss, Elizabeth",,"=""1984801546""","=""9781984801548""",0,3.56,The Dial Press,Hardcover,416,2021,2021,,2021/05/20,to-read,to-read (#160),to-read,,,,0,0
55276596,The Lost and Found Bookshop,Susan Wiggs,"Wiggs, Susan",,"=""0062914111""","=""9780062914118""",0,3.93,William Morrow Paperbacks,Paperback,368,2021,2020,,2021/05/20,to-read,to-read (#159),to-read,,,,0,0
54860614,Ariadne,Jennifer Saint,"Saint, Jennifer",,"=""125077358X""","=""9781250773586""",0,3.78,Flatiron Books,Hardcover,308,2021,2021,,2021/05/20,to-read,to-read (#158),to-read,,,,0,0
60510,"Poison Study (Study, #1)",Maria V. Snyder,"Snyder, Maria V.",,"=""0778324338""","=""9780778324331""",0,4.09,Mira,Paperback,427,2007,2005,,2021/05/19,to-read,to-read (#157),to-read,,,,0,0
31675787,"Beartown (Beartown, #1)",Fredrik Backman,"Backman, Fredrik",,"=""""","=""""",5,4.29, Atria Books,ebook,432,2017,2016,2021/05/15,2021/01/08,,,read,,,,1,0
43312830,The Second Home,Christina Clancy,"Clancy, Christina",,"=""1250239346""","=""9781250239341""",0,3.75,St. Martin's,Hardcover,341,2020,2020,,2021/05/13,to-read,to-read (#156),to-read,,,,0,0
32505753,"Ash Princess (Ash Princess Trilogy, #1)",Laura Sebastian,"Sebastian, Laura",,"=""1524767069""","=""9781524767068""",0,3.86,Delacorte Books for Young Readers,Hardcover,448,2018,2018,,2021/05/13,to-read,to-read (#155),to-read,,,,0,0
55077707,Stay Sexy & Don't Get Murdered: The Definitive How-To Guide,Karen Kilgariff,"Kilgariff, Karen",Georgia Hardstark,"=""1250759226""","=""9781250759221""",0,4.06,Forge Books,Paperback,300,2021,2019,,2021/05/13,to-read,to-read (#154),to-read,,,,0,0
4473,A Prayer for Owen Meany,John Irving,"Irving, John",,"=""0552135399""","=""9780552135399""",0,4.24,Black Swan,Paperback,637,1990,1989,,2021/05/12,to-read,to-read (#153),to-read,,,,0,0
34189556,The Wife Between Us,Greer Hendricks,"Hendricks, Greer",Sarah Pekkanen,"=""1250130921""","=""9781250130921""",0,3.83,St. Martin's Press,Hardcover,346,2018,2018,,2021/05/12,to-read,to-read (#152),to-read,,,,0,0
11072889,The American Heiress,Daisy Goodwin,"Goodwin, Daisy",,"=""1429987081""","=""9781429987080""",0,3.47,St. Martin's Press,Kindle Edition,468,2011,2010,,2021/05/08,to-read,to-read (#151),to-read,,,,0,0
33590210,An American Marriage,Tayari Jones,"Jones, Tayari",,"=""1616201347""","=""9781616201340""",3,3.93,Algonquin Books,Hardcover,308,2018,2018,2020/02/17,2020/05/17,,,read,,,,1,0
31086,The Life and Death of Anne Boleyn,Eric Ives,"Ives, Eric",,"=""1405134631""","=""9781405134637""",0,4.20,Wiley-Blackwell,Paperback,458,2005,2004,,2021/05/05,to-read,to-read (#150),to-read,,,,0,0
13537029,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",3,4.30,HarperCollins,Kindle Edition,351,2012,2011,2021/05/02,2021/02/24,,,read,,,,1,0
54886959,"Arsenic and Adobo (Tita Rosie's Kitchen Mystery, #1)",Mia P. Manansala,"Manansala, Mia P.",,"=""0593201671""","=""9780593201671""",0,3.53,Berkley,Paperback,308,2021,2021,,2021/05/02,to-read,to-read (#149),to-read,,,,0,0
55467800,That Summer,Jennifer Weiner,"Weiner, Jennifer",,"=""1501133543""","=""9781501133541""",0,3.75,Atria Books,Hardcover,422,2021,2021,,2021/05/02,to-read,to-read (#148),to-read,,,,0,0
10104,The Six Wives of Henry VIII,Alison Weir,"Weir, Alison",,"=""0802136834""","=""9780802136831""",0,4.12,Grove Press,Paperback,643,1992,1992,,2021/05/02,to-read,to-read (#147),to-read,,,,0,0
54508798,"The Guncle (The Guncle, #1)",Steven  Rowley,"Rowley, Steven",,"=""0525542280""","=""9780525542285""",0,4.10,G.P. Putnam's Sons,Hardcover,326,2021,2021,,2021/04/30,to-read,to-read (#146),to-read,,,,0,0
2175,Madame Bovary,Gustave Flaubert,"Flaubert, Gustave","Mark Overstall, Malcolm Bowie, Margaret Mauldon","=""0192840398""","=""9780192840394""",0,3.71,Oxford University Press,Paperback,329,2004,1856,,2021/04/29,to-read,to-read (#145),to-read,,,,0,0
15823480,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude, Dieter Wellershoff, Bruno Goetz, Lev Tolstoj, Léon Tolstoï","=""0345803922""","=""9780345803924""",0,4.10,Vintage,Paperback,964,2012,1878,,2021/04/29,to-read,to-read (#144),to-read,,,,0,0
45101,"The Mad Ship (Liveship Traders, #2)",Robin Hobb,"Hobb, Robin",,"=""0006498868""","=""9780006498865""",0,4.34,Harper Voyager,Mass Market Paperback,906,2008,1999,,2021/04/29,to-read,to-read (#143),to-read,,,,0,0
45100,"Ship of Magic (Liveship Traders, #1)",Robin Hobb,"Hobb, Robin",,"=""000649885X""","=""9780006498858""",0,4.24,Voyager,Mass Market Paperback,880,1999,1998,,2021/04/29,to-read,to-read (#142),to-read,,,,0,0
26236852,"Katherine of Aragon: The True Queen (Six Tudor Queens, #1)",Alison Weir,"Weir, Alison",,"=""1101966483""","=""9781101966488""",0,4.12,Ballantine Books,Hardcover,602,2016,2016,,2021/04/28,to-read,to-read (#141),to-read,,,,0,0
13547180,Brain on Fire: My Month of Madness,Susannah Cahalan,"Cahalan, Susannah",,"=""145162137X""","=""9781451621372""",0,4.09,Free Press,Hardcover,250,2012,2012,,2021/04/27,to-read,to-read (#140),to-read,,,,0,0
54860341,The Show Girl,Nicola  Harrison,"Harrison, Nicola",,"=""1250200156""","=""9781250200150""",0,3.83,St. Martin's Press,Hardcover,400,2021,2021,,2021/04/23,to-read,to-read (#139),to-read,,,,0,0
42773936,"Five Dark Fates (Three Dark Crowns, #4)",Kendare Blake,"Blake, Kendare",,"=""0062686194""","=""9780062686190""",4,3.92,Quill Tree Books,Kindle Edition,447,2019,2019,2021/04/22,2021/02/21,,,read,,,,1,0
37688187,"Two Dark Reigns (Three Dark Crowns, #3)",Kendare Blake,"Blake, Kendare",,"=""""","=""""",4,3.95,Quill Tree Books,Kindle Edition,469,2018,2018,2021/04/18,2021/02/21,,,read,,,,1,0
10917,My Sister's Keeper,Jodi Picoult,"Picoult, Jodi",,"=""0743454537""","=""9780743454537""",0,4.11,Atria/Emily Bestler Books,Paperback,423,2005,2004,,2020/10/23,favorites,favorites (#18),read,,,,1,0
1449510,Stolen Words (American Girl),Amy Goldman Koss,"Koss, Amy Goldman",,"=""158485376X""","=""9781584853763""",0,3.76,Amer Girl Pub,Paperback,145,2001,2001,,2020/11/25,favorites,favorites (#17),read,,,,1,0
54443445,Lore,Alexandra Bracken,"Bracken, Alexandra",,"=""1368002315""","=""9781368002318""",4,3.74,Disney Hyperion,Kindle Edition,558,2021,2021,2021/03/20,2021/01/23,favorites,favorites (#16),read,,,,1,0
40520251,Daisy Jones & The Six,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",4,4.20,Ballantine Books,ebook,404,2019,2019,2020/05/17,2020/05/17,favorites,favorites (#15),read,,,,1,0
50164163,Circe,Madeline Miller,"Miller, Madeline",,"=""""","=""""",4,4.22,"Little, Brown and Company",Kindle Edition,433,2018,2018,2021/02/16,2020/12/24,favorites,favorites (#14),read,,,,1,0
40004610,The Alice Network,Kate Quinn,"Quinn, Kate",,"=""""","=""""",4,4.32,William Morrow Paperbacks,Kindle Edition,564,2017,2017,2020/09/05,2020/05/17,favorites,favorites (#13),read,,,,1,0
53568397,"The Midnight Library (The Midnight World, #1)",Matt Haig,"Haig, Matt",,"=""0525559485""","=""9780525559481""",4,3.98,Viking ,Kindle Edition,288,2020,2020,2020/12/27,2020/12/14,,,read,,,,1,0
52195151,The Vanishing Half,Brit Bennett,"Bennett, Brit",,"=""""","=""""",5,4.12,Riverhead Books,Kindle Edition,350,2020,2020,2021/02/05,2020/10/23,favorites,favorites (#12),read,,,,1,0
42140794,City of Girls,Elizabeth Gilbert,"Gilbert, Elizabeth",,"=""0698408322""","=""9780698408326""",5,4.04,Riverhead Books,Kindle Edition,391,2019,2019,2020/09/08,2020/05/17,favorites,favorites (#11),read,,,,1,0
40203647,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",Lori Gottlieb,"Gottlieb, Lori",,"=""""","=""""",5,4.37,Harper,Kindle Edition,413,2019,2019,2020/10/17,2020/08/22,favorites,favorites (#9),read,,,,1,0
36693686,The Last Mrs. Parrish,Liv Constantine,"Constantine, Liv",,"=""""","=""""",5,3.95,Harper,Kindle Edition,400,2017,2017,2020/12/27,2020/05/17,favorites,favorites (#8),read,,,,1,0
36247169,Educated,Tara Westover,"Westover, Tara",,"=""""","=""""",5,4.46,Random House,ebook,336,2018,2018,2020/05/13,2020/05/17,favorites,favorites (#7),read,,,,1,0
44547620,The Immortalists,Chloe  Benjamin,"Benjamin, Chloe",,"=""""","=""""",5,3.71,G.P. Putnam's Sons,Kindle Edition,352,2018,2018,2021/02/01,2020/05/17,favorites,favorites (#6),read,,,,1,0
45416596,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",5,4.39,Washington Square Press,Kindle Edition,434,2017,2017,2020/05/17,2020/05/07,favorites,favorites (#5),read,,,,1,0
23207027,"Three Dark Crowns (Three Dark Crowns, #1)",Kendare Blake,"Blake, Kendare",,"=""0062385453""","=""9780062385451""",5,3.79,HarperTeen,Kindle Edition,416,2016,2016,2021/02/23,2020/12/24,favorites,favorites (#4),read,,,,1,0
55711828,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,"=""""","=""""",5,4.28,Anchor,Kindle Edition,737,2015,2015,2020/12/01,2020/06/26,favorites,favorites (#3),read,,,,1,0
22328546,"Red Queen (Red Queen, #1)",Victoria Aveyard,"Aveyard, Victoria",,"=""0062310631""","=""9780062310637""",5,3.98,HarperTeen,Hardcover,388,2015,2015,2020/10/24,2020/05/17,favorites,favorites (#2),read,,,,1,0
5043,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,"Follett, Ken",,"=""045122213X""","=""9780451222138""",5,4.35,Penguin Books,Paperback,976,2007,1989,2021/03/16,2020/06/14,favorites,favorites (#1),read,,,,1,0
36099688,"Queens of Fennbirn (Three Dark Crowns, #0.1-0.2)",Kendare Blake,"Blake, Kendare",,"=""0062748289""","=""9780062748287""",0,4.01,HarperTeen,Paperback,232,2018,2018,,2021/04/15,to-read,to-read (#138),to-read,,,,0,0
34848222,"The Young Queens (Three Dark Crowns, #0.2)",Kendare Blake,"Blake, Kendare",,"=""0062748262""","=""9780062748263""",0,3.89,HarperTeen,Kindle Edition,0,2017,2017,,2021/04/15,to-read,to-read (#137),to-read,,,,0,0
35098022,"The Oracle Queen (Three Dark Crowns, #0.1)",Kendare Blake,"Blake, Kendare",,"=""0062748270""","=""9780062748270""",0,3.94,Quill Tree Books,Kindle Edition,120,2018,2018,,2021/04/15,to-read,to-read (#136),to-read,,,,0,0
33634559,"One Dark Throne (Three Dark Crowns, #2)",Kendare Blake,"Blake, Kendare",,"=""0062385488""","=""9780062385482""",4,4.02,Quill Tree Books,Kindle Edition,465,2017,2017,2021/04/14,2021/02/21,,,read,,,,1,0
20342617,Just Mercy,Bryan Stevenson,"Stevenson, Bryan",,"=""""","=""""",0,4.62,One World,Paperback,336,2014,2014,,2021/04/12,to-read,to-read (#135),to-read,,,,0,0
44527740,Nothing to See Here,Kevin    Wilson,"Wilson, Kevin",,"=""""","=""""",5,3.96,Ecco,Kindle Edition,277,2019,2019,2021/04/12,2020/05/17,,,read,,,,1,0
53543064,The Once and Future Witches,Alix E. Harrow,"Harrow, Alix E.",,"=""0316422037""","=""""",4,4.02,Redhook,Kindle Edition,525,2020,2020,2021/04/11,2020/10/25,,,read,,,,1,0
22294935,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",0,4.46,Henry Holt and Co. (BYR),ebook,479,2015,2015,,2021/02/25,to-read,to-read (#134),to-read,,,,0,0
53138253,"A Vow So Bold and Deadly (Cursebreakers, #3)",Brigid Kemmerer,"Kemmerer, Brigid",,"=""1547602589""","=""9781547602582""",0,3.78,Bloomsbury,Hardcover,408,2021,2021,,2021/04/04,to-read,to-read (#133),to-read,,,,0,0
42952728,"A Heart So Fierce and Broken (Cursebreakers, #2)",Brigid Kemmerer,"Kemmerer, Brigid",,"=""""","=""""",0,3.88,Bloomsbury YA,Hardcover,450,2020,2020,,2021/04/04,to-read,to-read (#132),to-read,,,,0,0
40197454,"A Curse So Dark and Lonely (Cursebreakers, #1)",Brigid Kemmerer,"Kemmerer, Brigid",,"=""""","=""""",3,3.95,Bloomsbury YA,Kindle Edition,507,2019,2019,2021/04/04,2020/12/26,,,read,,,,1,0
43982433,Someone We Know,Shari Lapena,"Lapena, Shari",,"=""0525557652""","=""9780525557654""",0,3.90,Pamela Dorman Books,Hardcover,292,2019,2019,,2021/04/03,to-read,to-read (#131),to-read,,,,0,0
19398259,Everything I Never Told You,Celeste Ng,"Ng, Celeste",,"=""""","=""""",4,3.83,The Penguin Press,Kindle Edition,304,2014,2014,2021/03/31,2020/05/17,,,read,,,,1,0
35297426,Then She Was Gone,Lisa Jewell,"Jewell, Lisa",,"=""1501154648""","=""9781501154645""",0,4.04,Atria Books,Paperback,359,2018,2017,,2021/03/31,to-read,to-read (#130),to-read,,,,0,0
45865963,My Dark Vanessa,Kate Elizabeth Russell,"Russell, Kate Elizabeth",,"=""0062941526""","=""9780062941527""",3,4.10,William Morrow,Kindle Edition,395,2020,2020,2020/10/25,2020/08/10,,,read,,,,1,0
